Vec2(0.19, 0.30) ; not very near the center of the near edge of the table
Vec2(0.45, 1.25) ; at the middle of the table
Vec2(0.57, 1.41) ; somewhat near the center of the table
Vec2(0.85, 0.54) ; quite near the right side of the table
Vec2(0.19, 1.18) ; really far from the left edge of the table
Vec2(0.72, 0.21) ; not really close to the right side of the table
Vec2(0.06, 1.71) ; rather near the left side of the table
Vec2(0.83, 0.00) ; not far from the near end of the table
Vec2(0.65, 1.52) ; almost at the center of the table
Vec2(0.96, 1.43) ; almost at the right side of the table
Vec2(0.43, 0.12) ; not far from the center of the table
Vec2(0.17, 1.20) ; not very close to the center of the table
Vec2(0.77, 1.80) ; not rather far from the left edge of the table
Vec2(0.16, 1.72) ; quite far from the other end of the table
Vec2(0.05, 1.07) ; almost at the left side of the table
Vec2(0.62, 0.38) ; not close to the this end of the right edge of the table
Vec2(0.21, 1.46) ; not rather far from the left edge of the table
Vec2(0.55, 1.17) ; at the center of the table
Vec2(0.42, 1.79) ; fairly close to the middle of the table
Vec2(0.01, 0.98) ; rather close to the left edge of the table
Vec2(0.74, 0.96) ; at the center of the table
Vec2(0.94, 1.08) ; somewhat near the right edge of the table
Vec2(0.88, 1.80) ; rather close to the far edge of the table
Vec2(0.61, 0.89) ; close to the center of the table
Vec2(0.32, 1.44) ; nearly at the left edge of the table
Vec2(0.89, 0.86) ; really far from the center of the table
Vec2(0.34, 0.72) ; not very close to the near end of the table
Vec2(0.03, 0.58) ; not rather far from the left side of the table
Vec2(0.19, 0.35) ; not very near the my end of the left edge of the table
Vec2(0.22, 0.76) ; not really close to the center of the left edge of the table
Vec2(0.11, 1.30) ; very far from the center of the table
Vec2(0.67, 0.56) ; not quite near the center of the table
Vec2(0.82, 0.34) ; almost at the near end of the table
Vec2(0.94, 1.82) ; pretty near the right side of the table
Vec2(0.23, 1.10) ; not rather far from the middle of the left edge of the table
Vec2(0.19, 1.01) ; not far from the center of the table
Vec2(0.55, 0.65) ; not very far from the center of the table
Vec2(0.30, 1.43) ; not squarely at the my end of the table
Vec2(0.36, 1.03) ; not very far from the middle of the table
Vec2(0.07, 0.89) ; close to the center of the table
Vec2(0.52, 0.61) ; not rather far from the middle of the table
Vec2(0.21, 1.32) ; not far from the left side of the table
Vec2(0.79, 0.78) ; not far from the near edge of the table
Vec2(0.56, 1.69) ; not very far from the middle of the table
Vec2(0.43, 1.42) ; not rather near the left side of the table
Vec2(0.94, 1.18) ; not far from the right side of the table
Vec2(0.30, 1.25) ; not at the center of the table
Vec2(0.50, 1.93) ; quite near the middle of the table
Vec2(0.11, 0.05) ; pretty near the near edge of the table
Vec2(0.19, 0.91) ; not far from the middle of the table
Vec2(0.49, 1.95) ; not really far from the center of the far edge of the table
